Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1900,6000.0
Hydrological,Flood,Flood (General),JAM,Jamaica,Latin America and the Caribbean,Americas,,,1900,300.0
Biological,Epidemic,Viral disease,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1900,30.0
Geophysical,Volcanic activity,Ash fall,JPN,Japan,Eastern Asia,Asia,,,1900,30.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,40.3,43.1,1900,140.0
Climatological,Drought,Drought,IND,India,Southern Asia,Asia,,,1900,1250000.0
Climatological,Drought,Drought,CPV,Cabo Verde,Sub-Saharan Africa,Africa,,,1900,11000.0
Biological,Epidemic,Infectious disease (General),UGA,Uganda,Sub-Saharan Africa,Africa,,,1901,200000.0
Geophysical,Earthquake,Tsunami,JPN,Japan,Eastern Asia,Asia,40.5,142.5,1901,18.0
Geophysical,Volcanic activity,Ash fall,GTM,Guatemala,Latin America and the Caribbean,Americas,,,1902,1000.0
Meteorological,Storm,Tropical cyclone,MMR,Myanmar,South-eastern Asia,Asia,,,1902,600.0
Geophysical,Volcanic activity,Ash fall,MTQ,Martinique,Latin America and the Caribbean,Americas,,,1902,30000.0
Geophysical,Volcanic activity,Ash fall,VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,,,1902,1565.0
Geophysical,Volcanic activity,Ash fall,JPN,Japan,Eastern Asia,Asia,,,1902,125.0
Geophysical,Volcanic activity,Ash fall,GTM,Guatemala,Latin America and the Caribbean,Americas,,,1902,6000.0
Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,40.8,72.3,1902,4562.0
Geophysical,Earthquake,Ground movement,GTM,Guatemala,Latin America and the Caribbean,Americas,14.0,-91.0,1902,2000.0
Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,40.7,48.6,1902,86.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,39.88,76.2,1902,2500.0
Hydrological,Flood,Flood (General),USA,United States of America,Northern America,Americas,,,1903,
Hydrological,Flood,Flood (General),USA,United States of America,Northern America,Americas,,,1903,250.0
Geophysical,Mass movement (dry),Rockfall (dry),CAN,Canada,Northern America,Americas,,,1903,76.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,39.09,42.3,1903,3560.0
Meteorological,Storm,Tropical cyclone,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1903,65.0
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1903,98.0
Geophysical,Volcanic activity,Ash fall,COM,Comoros,Sub-Saharan Africa,Africa,,,1903,17.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,39.1,42.4,1903,1700.0
Geophysical,Earthquake,Ground movement,ISR,Israel,Western Asia,Asia,32.2,35.3,1903,20.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,40.9,42.7,1903,1000.0
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,35.2,58.2,1903,350.0
Climatological,Drought,Drought,NER,Niger,Sub-Saharan Africa,Africa,,,1903,
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1904,
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.5,120.5,1904,3.0
Geophysical,Earthquake,Ground movement,GRC,Greece,Southern Europe,Europe,37.75,27.0,1904,4.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.5,120.3,1904,145.0
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,38.67,16.07,1905,557.0
Geophysical,Earthquake,Ground movement,IND,India,Southern Asia,Asia,32.04,76.16,1905,20000.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1905,240.0
Geophysical,Mass movement (dry),Rockfall (dry),CAN,Canada,Northern America,Americas,,,1905,18.0
Geophysical,Earthquake,Tsunami,JPN,Japan,Eastern Asia,Asia,37.4,142.6,1905,41.0
Geophysical,Earthquake,Ground movement,ALB,Albania,Southern Europe,Europe,42.1,19.6,1905,120.0
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,34.0,132.0,1905,11.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,29.3,104.8,1905,
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.6,170.5,1906,1258.0
Geophysical,Earthquake,Ground movement,COL,Colombia,Latin America and the Caribbean,Americas,1.51,78.46,1906,400.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1906,164.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1906,134.0
Geophysical,Volcanic activity,Ash fall,ITA,Italy,Southern Europe,Europe,40.821,14.426,1906,700.0
Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,37.67,-122.48,1906,700.0
Geophysical,Earthquake,Ground movement,CHL,Chile,Latin America and the Caribbean,Americas,33.05,71.4,1906,20000.0
Meteorological,Storm,Tropical cyclone,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1906,10000.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.4,120.4,1906,15.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,43.5,85.5,1906,280.0
Climatological,Drought,Drought,NER,Niger,Sub-Saharan Africa,Africa,,,1906,
Biological,Epidemic,Bacterial disease,IND,India,Southern Asia,Asia,,,1907,1300000.0
Geophysical,Earthquake,Ground movement,JAM,Jamaica,Latin America and the Caribbean,Americas,18.2,-76.8,1907,1200.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,38.5,69.9,1907,12000.0
Geophysical,Earthquake,Ground movement,ROU,Romania,Eastern Europe,Europe,,,1908,
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,38.17,15.58,1908,75000.0
Geophysical,Mass movement (dry),Landslide (dry),CAN,Canada,Northern America,Americas,,,1908,33.0
Biological,Epidemic,Bacterial disease,CHN,China,Eastern Asia,Asia,,,1909,1500000.0
Biological,Epidemic,Bacterial disease,IDN,Indonesia,South-eastern Asia,Asia,,,1909,40.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1909,350.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1909,41.0
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,33.55,48.48,1909,5000.0
Geophysical,Earthquake,Ground movement,FRA,France,Western Europe,Europe,44.05,6.14,1909,46.0
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1909,172.0
Meteorological,Storm,Tropical cyclone,HTI,Haiti,Latin America and the Caribbean,Americas,,,1909,150.0
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1909,
Geophysical,Earthquake,Ground movement,MAR,Morocco,Northern Africa,Africa,35.34,-5.22,1909,100.0
Hydrological,Mass movement (wet),Landslide (wet),JAM,Jamaica,Latin America and the Caribbean,Americas,,,1909,53.0
Hydrological,Flood,Coastal flood,USA,United States of America,Northern America,Americas,,,1909,72.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,25.0,121.5,1909,9.0
Geophysical,Earthquake,Ground movement,PRT,Portugal,Southern Europe,Europe,38.9,-8.8,1909,30.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,24.4,103.0,1909,21.0
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,35.4,136.3,1909,41.0
Geophysical,Earthquake,Ground movement,PAK,Pakistan,Southern Asia,Asia,30.0,68.0,1909,231.0
Biological,Epidemic,Bacterial disease,CHN,China,Eastern Asia,Asia,,,1910,60000.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1910,30.0
Geophysical,Earthquake,Ground movement,CRI,Costa Rica,Latin America and the Caribbean,Americas,9.8,-84.0,1910,1750.0
Geophysical,Earthquake,Ground movement,DZA,Algeria,Northern Africa,Africa,36.0,4.0,1910,12.0
Hydrological,Mass movement (wet),Avalanche (wet),CAN,Canada,Northern America,Americas,,,1910,62.0
Hydrological,Flood,Flood (General),JPN,Japan,Eastern Asia,Asia,,,1910,1379.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,25.5,122.5,1910,60.0
Geophysical,Earthquake,Ground movement,CRI,Costa Rica,Latin America and the Caribbean,Americas,10.0,-84.0,1910,700.0
Climatological,Drought,Drought,BFA,Burkina Faso,Sub-Saharan Africa,Africa,,,1910,
Climatological,Drought,Drought,CPV,Cabo Verde,Sub-Saharan Africa,Africa,,,1910,
Climatological,Drought,Drought,GMB,Gambia,Sub-Saharan Africa,Africa,,,1910,
Climatological,Drought,Drought,GNB,Guinea-Bissau,Sub-Saharan Africa,Africa,,,1910,
Climatological,Drought,Drought,MLI,Mali,Sub-Saharan Africa,Africa,,,1910,
Climatological,Drought,Drought,MRT,Mauritania,Sub-Saharan Africa,Africa,,,1910,
Climatological,Drought,Drought,NER,Niger,Sub-Saharan Africa,Africa,,,1910,85000.0
Climatological,Drought,Drought,SEN,Senegal,Sub-Saharan Africa,Africa,,,1910,
Climatological,Drought,Drought,TCD,Chad,Sub-Saharan Africa,Africa,,,1910,
Geophysical,Volcanic activity,Ash fall,PHL,Philippines,South-eastern Asia,Asia,,,1911,1335.0
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,1911,100000.0
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1911,
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,1911,1000.0
Climatological,Wildfire,Forest fire,CAN,Canada,Northern America,Americas,,,1911,73.0
Geophysical,Earthquake,Ground movement,KAZ,Kazakhstan,Central Asia,Asia,43.5,77.5,1911,450.0
Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,38.2,72.8,1911,90.0
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,32.23,57.03,1911,700.0
Geophysical,Earthquake,Ground movement,MEX,Mexico,Latin America and the Caribbean,Americas,17.5,-102.5,1911,45.0
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,28.0,130.0,1911,12.0
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1912,50000.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,40.41,27.15,1912,923.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1912,1000.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1912,
Meteorological,Storm,Tropical cyclone,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1912,142.0
Meteorological,Storm,Tornado,CAN,Canada,Northern America,Americas,,,1912,28.0
Biological,Infestation,Locust infestation,NER,Niger,Sub-Saharan Africa,Africa,,,1913,
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1913,732.0
Geophysical,Earthquake,Ground movement,ROU,Romania,Eastern Europe,Europe,43.5,25.5,1913,
Geophysical,Earthquake,Ground movement,PER,Peru,Latin America and the Caribbean,Americas,-14.2,-72.9,1913,150.0
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,5.354,126.121,1913,138.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,24.15,102.45,1913,942.0
Meteorological,Storm,Tropical cyclone,TKL,Tokelau,Polynesia,Oceania,,,1914,
Geophysical,Volcanic activity,Ash fall,JPN,Japan,Eastern Asia,Asia,,,1914,140.0
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-3.924,101.82,1914,20.0
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,39.2,139.8,1914,94.0
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,37.7,15.2,1914,120.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,37.82,30.27,1914,4000.0
Geophysical,Earthquake,Ground movement,GRC,Greece,Southern Europe,Europe,38.8,20.6,1914,14.0
Geophysical,Earthquake,Ground movement,PER,Peru,Latin America and the Caribbean,Americas,-15.2,-73.2,1914,34.0
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,42.02,13.26,1915,29980.0
Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,32.47,-115.33,1915,6.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1915,525.0
Meteorological,Storm,Tropical cyclone,HTI,Haiti,Latin America and the Caribbean,Americas,,,1915,1600.0
Hydrological,Mass movement (wet),Avalanche (wet),CAN,Canada,Northern America,Americas,,,1915,56.0
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,1915,
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,29.5,91.5,1915,170.0
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1916,300.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.7,120.9,1916,180.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,24.0,121.0,1916,1.0
Biological,Epidemic,Infectious disease (General),SUN,Soviet Union,Eastern Europe,Europe,,,1917,2500000.0
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-7.0,116.0,1917,15000.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1917,4000.0
Meteorological,Storm,Tropical cyclone,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1917,57.0
Geophysical,Earthquake,Ground movement,GTM,Guatemala,Latin America and the Caribbean,Americas,14.38,-90.22,1917,2650.0
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,1917,
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,28.0,104.0,1917,1800.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.9,120.9,1917,54.0
Biological,Epidemic,Viral disease,BGD,Bangladesh,Southern Asia,Asia,,,1918,393000.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1918,34.0
Climatological,Wildfire,Forest fire,USA,United States of America,Northern America,Americas,,,1918,1000.0
Geophysical,Earthquake,Ground movement,PRI,Puerto Rico,Latin America and the Caribbean,Americas,18.06,-67.54,1918,116.0
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,Asia,8.29,124.4,1918,100.0
Biological,Epidemic,Viral disease,CAN,Canada,Northern America,Americas,,,1918,50000.0
Biological,Epidemic,Viral disease,NZL,New Zealand,Australia and New Zealand,Oceania,,,1918,6700.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,23.5,117.0,1918,10000.0
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,Asia,,,1919,5000.0
