Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Hydrological,Flood,Flood (General),KEN,Kenya,Sub-Saharan Africa,Africa,,,1975,
Hydrological,Flood,Flood (General),THA,Thailand,South-eastern Asia,Asia,,,1975,239.0
Meteorological,Storm,Tropical cyclone,MDG,Madagascar,Sub-Saharan Africa,Africa,,,1975,7.0
Geophysical,Earthquake,Ground movement,IND,India,Southern Asia,Asia,32.455,78.43,1975,47.0
Meteorological,Storm,Tropical cyclone,FJI,Fiji,Melanesia,Oceania,,,1975,
Hydrological,Flood,Flood (General),MOZ,Mozambique,Sub-Saharan Africa,Africa,,,1975,1.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,40.641,122.58,1975,2000.0
Meteorological,Storm,Tropical cyclone,MUS,Mauritius,Sub-Saharan Africa,Africa,,,1975,9.0
Hydrological,Flood,Flood (General),EGY,Egypt,Northern Africa,Africa,,,1975,15.0
Meteorological,Storm,Storm (General),CAN,Canada,Northern America,Americas,,,1975,14.0
Meteorological,Storm,Storm (General),VUT,Vanuatu,Melanesia,Oceania,,,1975,
Meteorological,Storm,Tropical cyclone,NCL,New Caledonia,Melanesia,Oceania,,,1975,
Meteorological,Storm,Storm (General),ARG,Argentina,Latin America and the Caribbean,Americas,,,1975,20.0
Hydrological,Mass movement (wet),Avalanche (wet),CHE,Switzerland,Western Europe,Europe,,,1975,13.0
Hydrological,Mass movement (wet),Landslide (wet),ITA,Italy,Southern Europe,Europe,,,1975,12.0
Hydrological,Mass movement (wet),Landslide (wet),AUT,Austria,Western Europe,Europe,,,1975,15.0
Hydrological,Flood,Flood (General),MAR,Morocco,Northern Africa,Africa,,,1975,10.0
Meteorological,Storm,Storm (General),IRN,Iran (Islamic Republic of),Southern Asia,Asia,,,1975,14.0
Meteorological,Storm,Storm (General),USA,United States of America,Northern America,Americas,,,1975,3.0
Geophysical,Volcanic activity,Ash fall,CRI,Costa Rica,Latin America and the Caribbean,Americas,,,1975,2.0
Meteorological,Extreme temperature,Heat wave,PAK,Pakistan,Southern Asia,Asia,,,1975,14.0
Meteorological,Storm,Storm (General),SLE,Sierra Leone,Sub-Saharan Africa,Africa,,,1975,1.0
Hydrological,Flood,Flood (General),ROU,Romania,Eastern Europe,Europe,,,1975,60.0
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1975,350.0
Meteorological,Extreme temperature,Cold wave,BRA,Brazil,Latin America and the Caribbean,Americas,,,1975,70.0
Geophysical,Volcanic activity,Ash fall,ECU,Ecuador,Latin America and the Caribbean,Americas,,,1975,
Hydrological,Flood,Flood (General),BRA,Brazil,Latin America and the Caribbean,Americas,,,1975,118.0
Geophysical,Earthquake,Tsunami,SLB,Solomon Islands,Melanesia,Oceania,-7.104,155.152,1975,200.0
Hydrological,Mass movement (wet),Landslide (wet),NPL,Nepal,Southern Asia,Asia,,,1975,125.0
Meteorological,Storm,Storm (General),IND,India,Southern Asia,Asia,,,1975,450.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1975,68.0
Hydrological,Flood,Flood (General),YMN,Yemen Arab Republic,Western Asia,Asia,,,1975,52.0
Hydrological,Flood,Flood (General),SDN,Sudan,Northern Africa,Africa,,,1975,
Meteorological,Storm,Storm (General),IND,India,Southern Asia,Asia,,,1975,30.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,38.474,40.723,1975,2385.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1975,21.0
Meteorological,Storm,Storm (General),IND,India,Southern Asia,Asia,,,1975,21.0
Meteorological,Storm,Tropical cyclone,MEX,Mexico,Latin America and the Caribbean,Americas,,,1975,29.0
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1975,
Meteorological,Storm,Storm (General),ZWE,Zimbabwe,Sub-Saharan Africa,Africa,,,1975,11.0
Hydrological,Flood,Flood (General),MOZ,Mozambique,Sub-Saharan Africa,Africa,,,1975,
Biological,Epidemic,Bacterial disease,BRA,Brazil,Latin America and the Caribbean,Americas,,,1975,
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1975,39.0
Hydrological,Flood,Flood (General),PHL,Philippines,South-eastern Asia,Asia,,,1975,
Hydrological,Flood,Flood (General),HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1975,
Hydrological,Flood,Flood (General),HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1975,3.0
Hydrological,Flood,Flood (General),HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1975,
