Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Biological,Epidemic,Bacterial disease,MMR,Myanmar,South-eastern Asia,Asia,,,1963,
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,Asia,,,1963,1584.0
Geophysical,Volcanic activity,Ash fall,CRI,Costa Rica,Latin America and the Caribbean,Americas,,,1963,15.0
Meteorological,Storm,Tropical cyclone,MMR,Myanmar,South-eastern Asia,Asia,,,1963,
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1963,22000.0
Hydrological,Mass movement (wet),Landslide (wet),KOR,Republic of Korea,Eastern Asia,Asia,,,1963,116.0
Geophysical,Earthquake,Ground movement,YUG,Yugoslavia,Southern Europe,Europe,42.1,21.3,1963,1070.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1963,1.0
Geophysical,Mass movement (dry),Landslide (dry),NPL,Nepal,Southern Asia,Asia,,,1963,150.0
Meteorological,Storm,Storm (General),IND,India,Southern Asia,Asia,,,1963,200.0
Meteorological,Storm,Tropical cyclone,DMA,Dominica,Latin America and the Caribbean,Americas,,,1963,
Meteorological,Storm,Tropical cyclone,MTQ,Martinique,Latin America and the Caribbean,Americas,,,1963,10.0
Meteorological,Storm,Tropical cyclone,LCA,Saint Lucia,Latin America and the Caribbean,Americas,,,1963,10.0
Meteorological,Storm,Tropical cyclone,GRD,Grenada,Latin America and the Caribbean,Americas,,,1963,6.0
Meteorological,Storm,Tropical cyclone,TTO,Trinidad and Tobago,Latin America and the Caribbean,Americas,,,1963,24.0
Meteorological,Storm,Tropical cyclone,DOM,Dominican Republic,Latin America and the Caribbean,Americas,,,1963,400.0
Meteorological,Storm,Tropical cyclone,HTI,Haiti,Latin America and the Caribbean,Americas,,,1963,5000.0
Meteorological,Storm,Tropical cyclone,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1963,11.0
Meteorological,Storm,Tropical cyclone,CUB,Cuba,Latin America and the Caribbean,Americas,,,1963,1750.0
Meteorological,Storm,Tropical cyclone,BHS,Bahamas,Latin America and the Caribbean,Americas,,,1963,
Hydrological,Mass movement (wet),Landslide (wet),ITA,Italy,Southern Europe,Europe,,,1963,1917.0
Biological,Epidemic,Viral disease,NPL,Nepal,Southern Asia,Asia,,,1963,1000.0
Hydrological,Flood,Flood (General),HTI,Haiti,Latin America and the Caribbean,Americas,,,1963,500.0
Hydrological,Flood,Flood (General),MAR,Morocco,Northern Africa,Africa,,,1963,69.0
Hydrological,Flood,Flood (General),DZA,Algeria,Northern Africa,Africa,,,1963,
Biological,Epidemic,Parasitic disease,HTI,Haiti,Latin America and the Caribbean,Americas,,,1963,
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,24.411,122.094,1963,15.0
